Gender,Age,Married,Dependents,Number of Dependents,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,CLTV,Urban_Rural_Town,Urban_Rural_City,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_No Internet,Contract_One Year,Contract_Two Year,Payment Method_Credit Card,Payment Method_Mailed Check,Churn
0,77,0,0,0,0,0.0,21,0,0.0,0,1,8,1,0,0,0,1,0,0,1,1,41.9,840.1,0.0,0,0.0,840.1,4778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,71,1,0,0,0,0.0,27,0,0.0,0,1,13,1,0,0,0,0,0,0,0,0,30.75,805.1,0.0,0,0.0,945.1,2927,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,79,1,0,0,1,1.0,11,1,29.54,0,0,0,0,0,0,0,0,0,0,0,0,19.95,214.75,0.0,0,324.94,539.69,5888,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
0,66,1,0,0,1,2.0,55,1,42.82,1,1,27,0,1,1,0,0,0,0,0,1,85.45,4874.7,0.0,0,2355.1,7319.799999999999,5502,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,77,0,0,0,0,0.0,3,1,9.22,1,1,14,0,1,0,0,0,0,0,1,1,81.35,233.7,0.0,0,27.660000000000004,261.36,2818,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,80,0,0,0,0,0.0,1,1,35.09,0,1,17,0,0,1,0,0,0,0,0,1,75.3,75.3,0.0,0,35.09,130.39,4902,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,77,0,0,0,0,0.0,5,0,0.0,0,1,26,0,1,0,0,0,0,0,1,0,28.45,131.05,0.0,0,0.0,131.05,4099,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,77,0,0,0,0,0.0,20,1,48.73,1,1,12,0,1,1,0,0,1,0,0,1,94.1,1782.4,0.0,0,974.6,2837.0,2666,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,72,1,0,0,1,4.0,5,1,45.76,1,1,22,0,0,0,0,0,0,0,1,1,74.35,334.8,0.0,0,228.8,563.6,5273,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,80,1,0,0,1,2.0,27,1,7.02,0,1,25,1,0,0,0,0,0,0,1,1,75.2,1929.35,0.0,0,189.54,2118.89,4517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,74,0,0,0,0,0.0,4,1,48.35,1,1,24,0,0,1,0,1,0,0,1,1,89.2,346.2,0.0,0,193.4,539.6,5808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,68,0,0,0,0,0.0,1,1,45.81,1,1,21,0,0,0,0,1,0,0,1,1,85.7,85.7,0.0,0,45.81,131.51,4880,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,78,1,0,0,1,3.0,65,1,18.39,1,1,28,1,0,1,0,1,1,0,1,0,105.25,6786.4,0.0,0,1195.35,7981.75,4196,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,75,1,0,0,1,3.0,49,1,22.92,1,1,14,0,1,0,0,0,1,0,1,0,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,5059,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
1,77,1,0,0,1,1.0,43,1,14.52,1,1,5,0,1,1,1,1,1,0,1,1,110.75,4687.9,0.0,0,624.36,5312.259999999999,2728,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,80,1,0,0,0,0.0,56,1,48.8,1,1,12,1,0,1,0,1,1,0,1,1,104.55,5794.65,0.0,0,2732.8,8527.449999999999,6268,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
1,75,1,0,0,1,7.0,20,1,5.31,1,1,10,0,0,0,0,1,1,1,1,1,94.55,1899.65,0.0,0,106.2,2005.85,5604,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,69,0,0,0,0,0.0,2,1,47.47,1,1,19,0,1,0,0,0,1,1,1,0,89.5,161.5,0.0,0,94.94,256.44,2065,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,74,0,0,0,0,0.0,8,1,27.95,0,0,0,0,0,0,0,0,0,0,0,0,19.65,164.3,0.0,0,223.6,387.9,5432,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,76,0,0,0,0,0.0,52,0,0.0,0,1,18,0,1,0,0,1,1,1,0,1,49.15,2550.9,0.0,0,0.0,2580.9,5597,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,69,0,0,0,0,0.0,2,1,43.99,0,1,27,1,0,0,0,0,0,0,1,1,49.25,91.1,0.0,0,87.98,179.07999999999998,3475,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,72,1,0,0,1,1.0,33,1,27.78,1,1,8,0,0,0,0,1,1,0,1,1,94.5,3105.55,0.0,0,916.74,4022.29,4333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,69,0,0,0,0,0.0,30,1,45.88,1,1,19,1,1,1,0,0,0,0,1,0,91.7,2758.15,0.0,0,1376.4,4134.55,2482,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1,73,0,0,0,0,0.0,20,1,44.44,1,1,13,0,0,1,0,1,1,0,0,1,98.55,1842.8,0.0,0,888.8,2851.6,5444,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,65,0,0,0,0,0.0,46,1,2.37,1,1,20,1,1,1,0,1,1,1,1,1,110.0,4874.8,0.0,0,109.02,4983.820000000001,2403,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,74,1,0,0,1,1.0,7,1,21.91,1,1,11,0,0,0,0,1,1,0,1,1,95.6,644.35,0.0,0,153.37,797.72,3265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,65,0,0,0,0,0.0,4,1,36.93,0,1,18,0,0,0,0,1,0,0,1,1,78.85,292.8,0.0,0,147.72,440.52,5301,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,66,0,0,0,0,0.0,55,1,37.38,1,1,7,0,0,1,0,1,1,1,0,1,100.0,5509.3,0.0,0,2055.9,7665.200000000001,5679,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,71,1,0,0,1,1.0,20,1,5.37,0,1,24,0,1,0,0,0,0,0,1,1,73.65,1463.5,0.0,0,107.4,1570.9,5849,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,65,0,0,0,0,0.0,9,1,48.71,1,1,15,0,0,1,0,1,1,1,1,1,100.5,918.6,0.0,0,438.39,1356.99,4038,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,69,0,0,0,0,0.0,10,1,5.46,0,1,24,0,1,0,0,0,0,0,0,1,72.85,688.65,0.0,0,54.6,773.25,3189,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,75,1,0,0,0,0.0,1,1,36.92,1,1,6,0,0,0,0,0,0,0,1,1,73.55,73.55,0.0,0,36.92,110.47,4369,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,75,0,0,0,0,0.0,3,1,41.9,1,1,11,0,1,0,0,0,0,0,1,1,79.4,205.05,0.0,0,125.7,330.75,3501,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,68,0,0,0,0,0.0,4,1,6.68,1,1,17,0,0,0,0,0,1,0,1,1,84.6,360.1,0.0,0,26.72,386.8200000000001,2467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,71,0,0,0,0,0.0,35,1,20.83,1,1,19,0,0,1,0,1,1,0,0,1,99.05,3395.8,0.0,0,729.05,4244.85,2074,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,80,0,0,0,0,0.0,2,1,26.62,0,1,11,0,0,0,0,0,0,0,1,0,44.95,85.15,0.0,0,53.24,138.39,5900,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
1,66,0,0,0,0,0.0,8,1,11.57,0,1,27,1,0,0,1,1,1,1,1,0,100.3,832.35,0.0,0,92.56,924.91,5084,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1,73,1,0,0,1,2.0,44,0,0.0,0,1,28,0,1,0,0,0,0,0,1,1,30.35,1359.7,0.0,0,0.0,1359.7,4829,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,77,1,0,0,1,1.0,62,1,7.11,1,1,16,0,1,1,0,1,1,1,1,1,103.75,6383.35,0.0,0,440.82,6824.17,5052,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,76,1,0,0,1,1.0,33,1,33.19,1,1,15,0,1,0,0,0,0,0,1,1,80.6,2656.5,0.0,0,1095.27,3751.77,3601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,65,0,0,0,0,0.0,4,1,49.5,1,1,23,0,0,0,0,1,1,1,1,1,94.3,424.45,0.0,0,198.0,622.45,5419,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1,75,1,0,0,1,1.0,27,1,10.6,1,1,23,0,0,0,0,0,0,0,1,1,75.5,1893.95,0.0,0,286.2,2180.15,2377,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,75,0,0,0,0,0.0,8,1,40.45,1,1,29,0,0,1,0,1,1,0,1,1,100.6,819.4,0.0,0,323.6,1143.0,5906,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,68,1,0,0,1,1.0,3,1,25.77,0,1,2,1,0,0,1,1,0,0,1,1,88.3,273.75,0.0,0,77.31,351.06,4486,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
0,71,0,0,0,0,0.0,8,1,42.93,0,1,9,0,0,1,0,1,1,0,1,1,92.1,729.95,0.0,0,343.44,1073.39,5662,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1,74,0,0,0,0,0.0,14,1,11.31,0,1,24,0,0,0,0,1,1,0,1,0,90.45,1266.1,0.0,0,158.34,1424.4399999999998,4777,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1,77,0,0,0,0,0.0,12,0,0.0,0,1,10,0,0,1,1,0,1,0,1,1,43.65,526.95,0.0,0,0.0,526.95,2437,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,73,0,0,0,0,0.0,13,1,40.37,0,1,21,0,0,1,0,0,0,0,1,1,74.3,940.35,0.0,0,524.81,1465.16,2995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,68,0,0,0,0,0.0,11,1,3.96,0,1,27,0,0,0,0,1,1,0,1,0,89.7,1047.7,0.0,0,43.56,1091.26,2202,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,74,1,0,0,1,1.0,17,1,28.18,1,1,16,0,0,1,0,1,1,0,1,1,100.45,1622.45,0.0,0,479.06,2101.51,5508,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,65,1,0,0,1,1.0,39,1,33.25,1,1,26,0,1,1,0,1,1,1,1,1,105.65,4284.8,0.0,0,1296.75,5581.55,4687,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,73,1,0,0,1,5.0,11,1,17.25,1,1,27,0,0,1,1,1,1,0,1,1,104.05,1133.65,0.0,0,189.75,1323.4,4553,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,74,1,0,0,1,1.0,3,1,3.29,0,1,9,0,0,0,0,1,0,0,1,1,80.4,224.05,0.0,0,9.87,233.92,3834,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1,80,0,0,0,0,0.0,21,1,34.62,0,1,14,0,0,1,0,1,0,0,1,1,60.05,1236.15,0.0,0,727.02,1963.17,4716,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,76,0,0,0,0,0.0,16,1,38.75,1,1,16,0,0,0,0,1,1,0,1,1,96.15,1529.2,0.0,0,620.0,2149.2,5913,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,73,0,0,0,0,0.0,46,1,6.13,0,1,30,0,1,0,0,1,1,0,1,0,95.25,4424.2,0.0,0,281.98,4706.18,3180,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
0,70,1,0,0,1,1.0,68,1,24.13,1,1,24,0,1,0,0,0,1,0,1,1,89.6,6127.6,0.0,0,1640.84,7768.44,5651,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,75,1,0,0,1,1.0,7,1,13.63,0,1,27,0,0,0,0,1,1,0,1,1,89.5,676.7,0.0,0,95.41,772.11,3077,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1,74,1,0,0,1,1.0,15,1,45.25,1,1,22,0,0,0,0,0,1,0,1,1,85.6,1345.55,0.0,0,678.75,2024.3,4981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,76,0,0,0,0,0.0,16,1,19.18,1,1,22,0,0,0,0,1,0,0,1,1,86.6,1281.0,0.0,0,306.88,1587.88,2508,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,75,0,0,0,0,0.0,1,1,29.68,0,1,18,0,0,0,0,0,0,0,1,1,69.25,69.25,0.0,0,29.68,98.93,4371,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,74,0,0,0,0,0.0,1,0,0.0,0,1,5,0,0,0,0,0,0,0,1,1,25.2,25.2,0.0,0,0.0,25.2,5688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,73,0,0,0,0,0.0,13,1,19.03,1,1,24,0,0,0,0,1,1,1,1,1,95.05,1290.0,0.0,0,247.39,1537.39,2230,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,69,0,0,0,0,0.0,1,1,20.06,0,1,24,0,0,0,0,1,0,0,1,1,79.2,79.2,0.0,0,20.06,99.26,4363,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,75,1,0,0,1,1.0,34,1,2.88,1,1,4,0,1,1,0,0,1,0,1,1,94.25,3217.55,0.0,0,97.92,3315.4700000000003,3369,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,65,0,0,0,0,0.0,4,1,12.68,0,1,10,0,1,1,0,1,1,1,1,1,99.8,442.85,0.0,0,50.72,493.5700000000001,2268,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,77,0,0,0,0,0.0,2,1,19.27,1,1,18,0,0,0,0,1,1,0,1,1,93.85,170.85,0.0,0,38.54,209.39,4193,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,67,0,0,0,0,0.0,9,1,30.8,1,1,18,0,0,0,0,0,1,0,1,1,84.4,732.5,0.0,0,277.2,1009.7,5745,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,78,0,0,0,0,0.0,5,1,42.33,0,1,9,0,0,1,0,0,0,0,1,1,75.55,349.65,0.0,0,211.65,561.3,4028,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1,65,0,0,0,0,0.0,22,1,40.18,1,1,8,0,0,0,0,1,1,1,0,1,96.7,2082.95,0.0,0,883.96,3066.91,4458,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,74,0,0,0,0,0.0,19,1,39.97,1,1,9,0,1,0,0,1,0,0,1,1,88.2,1775.8,0.0,0,759.43,2535.23,5683,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,70,0,0,0,0,0.0,15,1,46.38,1,1,19,0,0,0,0,0,0,0,1,0,75.65,1146.65,0.0,0,695.7,1842.35,2099,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,69,0,0,0,0,0.0,1,1,11.34,1,1,20,0,0,0,0,0,0,0,1,1,74.7,74.7,0.0,0,11.34,86.04,3348,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,76,0,0,0,0,0.0,1,0,0.0,0,1,26,0,0,0,0,0,0,0,0,1,25.8,25.8,0.0,0,0.0,45.8,3884,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,71,0,0,0,0,0.0,10,1,41.37,1,1,14,0,0,0,0,1,1,0,1,1,95.35,898.35,0.0,0,413.7,1312.05,5353,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,76,0,0,0,0,0.0,3,1,30.14,0,1,6,0,0,0,0,0,0,0,0,0,45.0,127.1,0.0,0,90.42,227.52,4145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,77,1,0,0,1,1.0,12,1,6.97,0,1,19,0,0,0,0,0,1,0,1,1,80.45,950.2,0.0,0,83.64,1033.84,5374,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,74,0,0,0,0,0.0,2,1,6.51,0,1,11,0,1,0,0,0,0,0,1,1,74.7,165.4,0.0,0,13.02,178.42000000000002,2803,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,77,0,0,0,0,0.0,1,1,49.6,1,1,20,0,0,1,0,1,0,0,0,1,88.8,88.8,0.0,0,49.6,148.4,3106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,76,1,0,0,1,1.0,13,1,1.47,0,1,5,0,1,0,1,0,1,0,1,1,89.05,1169.35,0.0,0,19.11,1188.4599999999998,3861,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,77,0,0,0,0,0.0,23,1,31.17,0,1,23,0,1,0,0,1,1,0,1,1,94.75,2293.6,0.0,0,716.9100000000001,3010.51,2740,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,80,1,0,0,1,1.0,17,1,36.82,1,1,6,1,0,1,0,0,0,0,1,1,85.35,1463.45,0.0,0,625.94,2089.3900000000003,3209,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,68,0,0,0,0,0.0,17,1,40.93,0,1,2,0,0,0,0,0,0,0,1,1,45.05,770.6,0.0,0,695.81,1466.41,3797,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,79,0,0,0,0,0.0,42,1,9.53,1,1,17,0,0,0,0,1,0,0,1,1,84.65,3541.35,0.0,0,400.26,3941.61,4871,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,65,0,0,0,0,0.0,1,1,42.3,0,1,16,0,0,0,0,1,0,0,1,1,79.1,79.1,0.0,0,42.3,121.4,5001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,68,0,0,0,0,0.0,1,1,39.78,0,1,12,0,0,1,0,0,0,0,1,1,50.15,50.15,0.0,0,39.78,89.93,3438,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0,72,0,0,0,0,0.0,1,1,34.51,0,1,15,0,0,0,0,0,0,0,1,1,69.6,69.6,0.0,0,34.51,104.11,3438,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,66,0,0,0,0,0.0,41,1,27.95,1,1,23,1,1,1,0,1,1,1,1,1,113.2,4689.5,0.0,0,1145.95,5835.45,3380,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,68,0,0,0,0,0.0,13,1,26.11,0,1,4,0,0,0,0,1,1,1,0,1,90.5,1201.15,0.0,0,339.43,1650.7400000000002,5394,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,69,1,0,0,1,1.0,32,1,5.99,1,1,23,0,0,0,0,0,1,1,1,1,85.0,2642.05,0.0,0,191.68,2784.16,4584,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,76,1,0,0,1,1.0,32,1,49.6,1,1,10,0,0,0,0,0,1,1,1,0,85.3,2661.1,0.0,0,1587.2,4248.3,2712,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,70,1,0,0,1,1.0,57,0,0.0,0,1,3,0,0,0,0,1,1,1,1,1,44.85,2572.95,0.0,0,0.0,2560.88,5172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,71,0,0,0,0,0.0,1,1,15.28,0,1,14,0,0,0,0,0,0,0,1,0,45.1,45.1,0.0,0,15.28,60.38,4499,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,75,0,0,0,0,0.0,1,0,0.0,0,1,26,0,1,1,0,0,1,0,1,1,43.3,43.3,0.0,0,0.0,43.3,4972,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,67,0,0,0,0,0.0,38,1,26.1,0,1,27,1,1,0,0,0,0,0,1,1,57.15,2250.65,0.0,0,991.8,3242.4500000000003,3110,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0,65,1,0,0,1,1.0,35,1,15.98,1,1,22,1,1,0,1,1,0,0,1,1,100.5,3653.35,0.0,0,559.3000000000001,4212.65,4745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,80,0,0,0,0,0.0,1,1,15.24,0,1,14,0,0,0,0,0,0,0,1,0,45.1,45.1,0.0,0,15.24,60.34,2740,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
1,71,1,0,0,1,1.0,30,1,4.65,0,1,29,0,1,0,0,0,0,0,1,1,50.4,1527.5,0.0,0,139.5,1667.0,4795,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,70,0,0,0,0,0.0,5,1,12.27,0,1,20,0,0,0,0,0,1,0,1,0,78.95,378.4,0.0,0,61.35,439.75,4054,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1,73,0,0,0,0,0.0,1,1,30.17,1,1,6,0,0,0,0,1,1,0,1,1,93.55,93.55,0.0,0,30.17,123.72,5536,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1,78,1,0,0,1,1.0,58,1,49.38,1,1,19,1,1,1,0,1,1,0,1,1,108.85,6287.25,0.0,0,2864.04,9151.29,4739,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,76,0,0,0,0,0.0,16,1,17.51,1,1,7,0,0,0,0,1,0,0,1,1,84.75,1350.15,0.0,0,280.16,1630.3100000000002,5136,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,73,0,0,0,0,0.0,1,1,22.5,0,1,27,0,0,0,0,0,0,0,0,1,69.95,69.95,0.0,0,22.5,102.45,3208,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
